date,symbol,close,volume,liquidity_vnd,industry
2026-04-14,SZL,48600.0,49600,2410560000,Bất động sản & KCN
2026-04-14,PGS,49710.0,1100,54681000,Năng lượng & Tiện ích
2026-04-14,DNW,31500.0,300,9450000,Năng lượng & Tiện ích
2026-04-14,CC1,37000.0,1600,59200000,Xây dựng & Đầu tư công
2026-04-14,SFG,10900.0,2900,31610000,Hóa chất & Nhựa
2026-04-14,TMS,40500.0,100,4050000,Vận tải & Logistics
2026-04-14,STG,29250.0,1000,29250000,Vận tải & Logistics
2026-04-14,VGG,42000.0,1400,58800000,Dệt may
2026-04-15,SZL,48600.0,110900,5389740000,Bất động sản & KCN
2026-04-15,VSN,14200.0,50800,721360000,Thực phẩm & Nông nghiệp
2026-04-15,DNW,31900.0,100,3190000,Năng lượng & Tiện ích
2026-04-15,CC1,37000.0,2100,77700000,Xây dựng & Đầu tư công
2026-04-15,SRC,52000.0,100,5200000,Hóa chất & Nhựa
2026-04-15,TMS,40500.0,1300,52650000,Vận tải & Logistics
2026-04-15,STG,31250.0,1100,34375000,Vận tải & Logistics
2026-04-15,VGG,42000.0,1200,50400000,Dệt may
2026-04-16,SZL,49000.0,39600,1940400000,Bất động sản & KCN
2026-04-16,VSN,15800.0,200,3160000,Thực phẩm & Nông nghiệp
2026-04-16,SRC,51000.0,500,25500000,Hóa chất & Nhựa
2026-04-16,SFG,11000.0,6000,66000000,Hóa chất & Nhựa
2026-04-16,STG,33400.0,300,10020000,Vận tải & Logistics
2026-04-16,VGG,41800.0,300,12540000,Dệt may
2026-04-17,SZL,49550.0,72100,3572555000,Bất động sản & KCN
2026-04-17,NVT,8000.0,5100,40800000,Bất động sản & KCN
2026-04-17,VSN,14900.0,5700,84930000,Thực phẩm & Nông nghiệp
2026-04-17,DNW,32000.0,200,6400000,Năng lượng & Tiện ích
2026-04-17,CC1,38000.0,4000,152000000,Xây dựng & Đầu tư công
2026-04-17,SRC,51500.0,100,5150000,Hóa chất & Nhựa
2026-04-17,SFG,10600.0,2000,21200000,Hóa chất & Nhựa
2026-04-17,STG,35700.0,300,10710000,Vận tải & Logistics
2026-04-17,VGG,42100.0,1400,58940000,Dệt may
2026-04-20,SZL,52000.0,58000,3016000000,Bất động sản & KCN
2026-04-20,NVT,7990.0,400,3196000,Bất động sản & KCN
2026-04-20,VSN,14300.0,4500,64350000,Thực phẩm & Nông nghiệp
2026-04-20,DNW,32000.0,100,3200000,Năng lượng & Tiện ích
2026-04-20,CC1,39000.0,500,19500000,Xây dựng & Đầu tư công
2026-04-20,SRC,53800.0,500,26900000,Hóa chất & Nhựa
2026-04-20,SFG,11000.0,12800,140800000,Hóa chất & Nhựa
2026-04-20,STG,38150.0,3200,122080000,Vận tải & Logistics
2026-04-20,VGG,42300.0,3000,126900000,Dệt may
2026-04-21,SZL,51300.0,20900,1072170000,Bất động sản & KCN
2026-04-21,NVT,7550.0,1100,8305000,Bất động sản & KCN
2026-04-21,VSN,14500.0,8000,116000000,Thực phẩm & Nông nghiệp
2026-04-21,DNW,32000.0,100,3200000,Năng lượng & Tiện ích
2026-04-21,SRC,53700.0,100,5370000,Hóa chất & Nhựa
2026-04-21,SFG,10600.0,3500,37100000,Hóa chất & Nhựa
2026-04-21,TMS,40600.0,11300,458780000,Vận tải & Logistics
2026-04-21,STG,36150.0,1800,65070000,Vận tải & Logistics
2026-04-21,VGG,42300.0,200,8460000,Dệt may
2026-04-22,SZL,50900.0,10400,529360000,Bất động sản & KCN
2026-04-22,NVT,7570.0,100,757000,Bất động sản & KCN
2026-04-22,VSN,14500.0,200,2900000,Thực phẩm & Nông nghiệp
2026-04-22,DNW,32000.0,100,3200000,Năng lượng & Tiện ích
2026-04-22,SFG,10950.0,7400,81030000,Hóa chất & Nhựa
2026-04-22,STG,33750.0,100,3375000,Vận tải & Logistics
2026-04-22,VGG,42400.0,600,25440000,Dệt may
2026-04-23,SZL,50900.0,50100,2550090000,Bất động sản & KCN
2026-04-23,NVT,7650.0,5300,40545000,Bất động sản & KCN
2026-04-23,VSN,14200.0,1600,22720000,Thực phẩm & Nông nghiệp
2026-04-23,DNW,33000.0,400,13200000,Năng lượng & Tiện ích
2026-04-23,SRC,53400.0,300,16020000,Hóa chất & Nhựa
2026-04-23,SFG,10950.0,100,1095000,Hóa chất & Nhựa
2026-04-23,STG,33750.0,200,6750000,Vận tải & Logistics
2026-04-24,SZL,51000.0,30000,1530000000,Bất động sản & KCN
2026-04-24,NVT,7700.0,100,770000,Bất động sản & KCN
2026-04-24,VSN,14100.0,900,12690000,Thực phẩm & Nông nghiệp
2026-04-24,DNW,33900.0,100,3390000,Năng lượng & Tiện ích
2026-04-24,CC1,35000.0,1400,49000000,Xây dựng & Đầu tư công
2026-04-24,SRC,53000.0,4900,259700000,Hóa chất & Nhựa
2026-04-24,SFG,10950.0,15000,164250000,Hóa chất & Nhựa
2026-04-24,TMS,40300.0,2800,112840000,Vận tải & Logistics
2026-04-24,STG,33750.0,100,3375000,Vận tải & Logistics
2026-04-24,VGG,41700.0,100,4170000,Dệt may
2026-04-28,SZL,51300.0,8400,430920000,Bất động sản & KCN
2026-04-28,VSN,14000.0,700,9800000,Thực phẩm & Nông nghiệp
2026-04-28,DNW,33000.0,300,9900000,Năng lượng & Tiện ích
2026-04-28,CC1,37800.0,2100,79380000,Xây dựng & Đầu tư công
2026-04-28,SRC,53000.0,200,10600000,Hóa chất & Nhựa
2026-04-28,SFG,11000.0,13600,149600000,Hóa chất & Nhựa
2026-04-28,STG,36100.0,2300,83030000,Vận tải & Logistics
2026-04-28,VGG,42200.0,300,12660000,Dệt may
2026-04-29,SZL,51800.0,3900,202020000,Bất động sản & KCN
2026-04-29,NVT,7900.0,100,790000,Bất động sản & KCN
2026-04-29,VSN,14600.0,100,1460000,Thực phẩm & Nông nghiệp
2026-04-29,PGS,53850.0,300,16155000,Năng lượng & Tiện ích
2026-04-29,CC1,37300.0,1100,41030000,Xây dựng & Đầu tư công
2026-04-29,SRC,52500.0,12300,645750000,Hóa chất & Nhựa
2026-04-29,SFG,10950.0,600,6570000,Hóa chất & Nhựa
2026-04-29,TMS,40250.0,5300,213325000,Vận tải & Logistics
2026-05-04,SZL,52400.0,12100,634040000,Bất động sản & KCN
2026-05-04,NVT,8039.999999999999,100,803999,Bất động sản & KCN
2026-05-04,VSN,14000.0,1200,16800000,Thực phẩm & Nông nghiệp
2026-05-04,PGS,48460.0,500,24230000,Năng lượng & Tiện ích
2026-05-04,DNW,31000.0,400,12400000,Năng lượng & Tiện ích
2026-05-04,SRC,52500.0,5900,309750000,Hóa chất & Nhựa
2026-05-04,SFG,10850.0,4500,48825000,Hóa chất & Nhựa
2026-05-04,TMS,40000.0,1300,52000000,Vận tải & Logistics
2026-05-04,STG,36100.0,1000,36100000,Vận tải & Logistics
2026-05-04,VGG,41900.0,200,8380000,Dệt may
2026-05-05,SZL,53000.0,20500,1086500000,Bất động sản & KCN
2026-05-05,NVT,7800.0,1000,7800000,Bất động sản & KCN
2026-05-05,VSN,14400.0,18200,262080000,Thực phẩm & Nông nghiệp
2026-05-05,PGS,50000.0,6300,315000000,Năng lượng & Tiện ích
2026-05-05,SRC,55000.0,18300,1006500000,Hóa chất & Nhựa
2026-05-05,SFG,11000.0,2800,30800000,Hóa chất & Nhựa
2026-05-05,TMS,41450.0,11200,464240000,Vận tải & Logistics
2026-05-05,STG,38550.0,100,3855000,Vận tải & Logistics
2026-05-05,VGG,42000.0,300,12600000,Dệt may
2026-05-06,SZL,53700.0,11500,617550000,Bất động sản & KCN
2026-05-06,NVT,7800.0,2100,16380000,Bất động sản & KCN
2026-05-06,VSN,14500.0,1100,15950000,Thực phẩm & Nông nghiệp
2026-05-06,DNW,31100.0,700,21770000,Năng lượng & Tiện ích
2026-05-06,CC1,37000.0,100,3700000,Xây dựng & Đầu tư công
2026-05-06,SRC,55000.0,1000,55000000,Hóa chất & Nhựa
2026-05-06,SFG,11000.0,1800,19800000,Hóa chất & Nhựa
2026-05-06,TMS,41200.0,500,20600000,Vận tải & Logistics
2026-05-06,STG,35900.0,1000,35900000,Vận tải & Logistics
2026-05-06,VGG,42000.0,200,8400000,Dệt may
2026-05-07,SZL,53900.0,6200,334180000,Bất động sản & KCN
2026-05-07,NVT,7260.0,6300,45738000,Bất động sản & KCN
2026-05-07,VSN,14100.0,800,11280000,Thực phẩm & Nông nghiệp
2026-05-07,DNW,31500.0,100,3150000,Năng lượng & Tiện ích
2026-05-07,SFG,11050.0,3900,43095000,Hóa chất & Nhựa
2026-05-07,TMS,39900.0,4100,163590000,Vận tải & Logistics
2026-05-07,STG,38250.0,2300,87975000,Vận tải & Logistics
2026-05-07,VGG,41900.0,200,8380000,Dệt may
2026-05-08,SZL,53700.0,7400,397380000,Bất động sản & KCN
2026-05-08,NVT,7610.0,3600,27396000,Bất động sản & KCN
2026-05-08,VSN,14200.0,300,4260000,Thực phẩm & Nông nghiệp
2026-05-08,DNW,31500.0,400,12600000,Năng lượng & Tiện ích
2026-05-08,CC1,36000.0,100,3600000,Xây dựng & Đầu tư công
2026-05-08,SRC,54900.0,300,16470000,Hóa chất & Nhựa
2026-05-08,SFG,11000.0,4200,46200000,Hóa chất & Nhựa
2026-05-08,STG,35600.0,400,14240000,Vận tải & Logistics
2026-05-08,VGG,41200.0,2800,115360000,Dệt may
2026-05-11,SZL,53000.0,10800,572400000,Bất động sản & KCN
2026-05-11,VSN,14100.0,100,1410000,Thực phẩm & Nông nghiệp
2026-05-11,DNW,30200.0,700,21140000,Năng lượng & Tiện ích
2026-05-11,CC1,37000.0,400,14800000,Xây dựng & Đầu tư công
2026-05-11,SFG,11000.0,10000,110000000,Hóa chất & Nhựa
2026-05-11,TMS,39800.0,500,19900000,Vận tải & Logistics
2026-05-11,STG,38000.0,200,7600000,Vận tải & Logistics
2026-05-11,VGG,41200.0,2600,107120000,Dệt may
2026-05-12,SZL,53500.0,6400,342400000,Bất động sản & KCN
2026-05-12,NVT,7690.0,3200,24608000,Bất động sản & KCN
2026-05-12,VSN,14100.0,500,7050000,Thực phẩm & Nông nghiệp
2026-05-12,CC1,36800.0,800,29440000,Xây dựng & Đầu tư công
2026-05-12,SRC,53000.0,3300,174900000,Hóa chất & Nhựa
2026-05-12,SFG,11000.0,15800,173800000,Hóa chất & Nhựa
2026-05-12,TMS,40700.0,6800,276760000,Vận tải & Logistics
2026-05-12,STG,35350.0,500,17675000,Vận tải & Logistics
2026-05-12,VGG,41600.0,100,4160000,Dệt may
2026-05-13,SZL,53600.0,17100,916560000,Bất động sản & KCN
2026-05-13,NVT,7600.0,3600,27360000,Bất động sản & KCN
2026-05-13,VSN,14100.0,100,1410000,Thực phẩm & Nông nghiệp
2026-05-13,SRC,52000.0,100,5200000,Hóa chất & Nhựa
2026-05-13,SFG,11000.0,1300,14300000,Hóa chất & Nhựa
2026-05-13,TMS,40200.0,3500,140700000,Vận tải & Logistics
2026-05-13,STG,33200.0,700,23240000,Vận tải & Logistics
2026-05-13,VGG,41800.0,1300,54340000,Dệt may
2026-05-14,SZL,53800.0,6000,322800000,Bất động sản & KCN
2026-05-14,NVT,7600.0,5600,42560000,Bất động sản & KCN
